stop_id,stop_name,stop_lat,stop_lon
71,parada71,-7.148455297412868,-34.820323193872653
72,parada72,-7.149895901931840,-34.821437847213083
73,parada73,-7.157670098714167,-34.821919245963038
74,parada74,-7.160157785396372,-34.821823739115089
75,parada75,-7.210671200002396,-34.878541280043791
76,parada76,-7.210591218925676,-34.878659757654319
77,parada77,-7.208214836560845,-34.880006254063133
78,parada78,-7.206682990205255,-34.881550194753842
79,parada79,-7.205019762300223,-34.883200244713848
80,parada80,-7.203459951282566,-34.884703980003522
81,parada81,-7.201180719954314,-34.885252681543690
82,parada82,-7.198386336494779,-34.884935883350778
83,parada83,-7.195524734285654,-34.884592968039563
84,parada84,-7.193467244621767,-34.884534027329700
85,parada85,-7.193658743910268,-34.886334763967199
86,parada86,-7.196141913654869,-34.886701574609660
87,parada87,-7.199893067527085,-34.887057084898061
88,parada88,-7.198718847448792,-34.888770881451300
89,parada89,-7.185738507636321,-34.891736497823267
90,parada90,-7.182748023181272,-34.892505674074677
91,parada91,-7.178115328537040,-34.893763631802869
92,parada92,-7.206880569705004,-34.833024892626099
93,parada93,-7.205159234147409,-34.833602825270333
94,parada94,-7.203025294803111,-34.834409171048193
95,parada95,-7.201242313567883,-34.835108190438440
96,parada96,-7.198571410429716,-34.834461188623287
97,parada97,-7.198567976746231,-34.833902759542852
98,parada98,-7.200530819554051,-34.833305554787252
99,parada99,-7.202567551016521,-34.832701501753007
100,parada100,-7.206043114498828,-34.831742379087309
101,parada101,-7.205615601160326,-34.831742280369383
102,parada102,-7.203080532005008,-34.832658380750708
103,parada103,-7.200999470751435,-34.833309504880233
104,parada104,-7.199042383793852,-34.833857178674577
105,parada105,-7.198570992768984,-34.834325451716957
106,parada106,-7.200913936248586,-34.835187850942333
107,parada107,-7.112651389369626,-34.834324853223968
108,parada108,-7.111097881856489,-34.836814860785061
109,parada109,-7.107385661362521,-34.840886884569457
110,parada110,-7.105033050412877,-34.842973135918783
111,parada111,-7.107238558876895,-34.840958037545633
112,parada112,-7.109258983480777,-34.838902493851762
113,parada113,-7.110671084702459,-34.837340224746022
114,parada114,-7.112546330782703,-34.834440566575353
115,parada115,-7.207947894929905,-34.827633142344510
116,parada116,-7.237037627514512,-34.805523902291661
117,parada117,-7.232199030556060,-34.808436915201973
118,parada118,-7.230196106454193,-34.806522792887883
119,parada119,-7.217210181319247,-34.804509191557223
120,parada120,-7.217785672441079,-34.810192870604133
121,parada121,-7.224731293330263,-34.817201506323507
122,parada122,-7.223567233452948,-34.823897472193153
123,parada123,-7.219148533144358,-34.834568808987271
124,parada124,-7.216803826638431,-34.837805211750791
125,parada125,-7.214210412214019,-34.840043046976440
